ensembl_gene_id	external_gene_id	entrezgene	chromosome_name	start_position	end_position	strand
ENSG00000235947	EGOT	100126791	3	4790876	4793274	-1
ENSG00000235978	AC018816.3	NA	3	4855978	4928977	-1
ENSG00000239126	snoU13	NA	3	4920283	4920386	-1
ENSG00000235831	BHLHE40-AS1	100507582	3	4938493	5021646	-1
ENSG00000134107	BHLHE40	8553	3	5020801	5027008	1
ENSG00000230182	RNF10P1	NA	3	5110361	5110729	-1
ENSG00000224082	UBTFL8	NA	3	5121897	5126114	-1
ENSG00000207283	Y_RNA	NA	3	5127863	5127964	-1
ENSG00000237566	AC090955.5	NA	3	5141312	5141546	1
ENSG00000134108	ARL8B	55207	3	5163905	5222596	1
ENSG00000233912	AC026202.3	NA	3	5198590	5229014	-1
ENSG00000268509	AC026202.1	NA	3	5229227	5229982	-1
ENSG00000134109	EDEM1	9695	3	5229331	5261642	1
ENSG00000265180	MIR4790	100616334	3	5291862	5291940	-1
ENSG00000241227	RN7SL553P	NA	3	5294613	5294908	-1
ENSG00000230944	AC026202.5	NA	3	5297220	5298446	-1
ENSG00000229642	AC027119.1	NA	3	6004529	6165807	1
ENSG00000226022	AC026167.1	NA	3	6190171	6407572	1
ENSG00000232958	AC091069.1	NA	3	6249956	6250258	1
ENSG00000189229	AC069277.2	NA	3	6532166	6777816	1
ENSG00000226258	GRM7-AS3	101927347	3	6673376	6847136	-1
ENSG00000223719	AC024162.2	NA	3	6734006	6734775	1
ENSG00000196277	GRM7	100996542	3	6811688	7783215	1
ENSG00000196277	GRM7	2917	3	6811688	7783215	1
ENSG00000236152	MRPS36P1	NA	3	6814724	6815030	-1
ENSG00000237665	GRM7-AS2	NA	3	6934319	6935709	-1
ENSG00000236202	GRM7-AS1	NA	3	7561428	7602020	-1
ENSG00000270207	RP11-157E16.1	NA	3	7648577	7649584	-1
ENSG00000227110	LMCD1-AS1	101927394	3	7994492	8653610	-1
ENSG00000227110	LMCD1-AS1	100288428	3	7994492	8653610	-1
ENSG00000266293	AC069276.1	NA	3	8048164	8048248	-1
ENSG00000228351	AC018832.1	NA	3	8121009	8154611	1
ENSG00000253081	RNU4ATAC17P	NA	3	8406215	8406334	-1
ENSG00000231401	AC023481.1	NA	3	8406393	8408078	-1
ENSG00000071282	LMCD1	29995	3	8543393	8609805	1
ENSG00000237697	LINC00312	29931	3	8613468	8615561	1
ENSG00000224884	AC034187.2	NA	3	8615412	8634810	-1
ENSG00000125046	SSUH2	51066	3	8661086	8786726	-1
ENSG00000215160	OR7E122P	79315	3	8729829	8730845	1
ENSG00000265330	AC034187.4	NA	3	8737000	8737076	1
ENSG00000264097	AC034187.1	NA	3	8737735	8737803	-1
ENSG00000266275	AC034187.5	NA	3	8737863	8737942	1
ENSG00000265169	AC034187.3	NA	3	8741697	8741784	1
ENSG00000182533	CAV3	859	3	8775486	8883492	1
ENSG00000180914	OXTR	5021	3	8792094	8811314	-1
ENSG00000266778	hsa-mir-548ba	102465854	3	8812877	8812973	1
ENSG00000070950	RAD18	56852	3	8817088	9005457	-1
ENSG00000199815	SNORA43	NA	3	8973179	8973316	1
ENSG00000196220	SRGAP3	9901	3	9022275	9404737	-1
ENSG00000224808	SRGAP3-AS1	NA	3	9055807	9057663	1
ENSG00000228723	SRGAP3-AS2	101927416	3	9234177	9236137	1
ENSG00000227929	SRGAP3-AS3	100288831	3	9258579	9259771	1
ENSG00000235830	SRGAP3-AS4	NA	3	9298443	9299191	1
ENSG00000254485	RP11-380O24.1	101930660	3	9334272	9404987	-1
ENSG00000214041	PGAM1P4	NA	3	9390071	9390952	1
ENSG00000206573	SETD5-AS1	440944	3	9391373	9440263	-1
ENSG00000134077	THUMPD3	25917	3	9404526	9428475	1
ENSG00000168137	SETD5	55209	3	9439299	9520924	1
ENSG00000266001	AC018506.1	NA	3	9467941	9468034	-1
ENSG00000269975	RP11-58B17.2	NA	3	9540045	9541253	-1
ENSG00000156959	LHFPL4	375323	3	9543481	9595486	-1
ENSG00000235338	DUSP5P2	NA	3	9642432	9644412	1
ENSG00000163719	MTMR14	64419	3	9691117	9744077	1
ENSG00000144550	CPNE9	151835	3	9745491	9771592	1
ENSG00000156983	BRPF1	7862	3	9773413	9789702	1
ENSG00000114026	OGG1	4968	3	9791628	9829903	1
ENSG00000134072	CAMK1	8536	3	9799026	9811676	-1
ENSG00000171148	TADA3	10474	3	9821544	9834695	-1
ENSG00000241553	ARPC4	10093	3	9834179	9849410	1
ENSG00000250151	ARPC4-TTLL3	100526693	3	9834766	9877085	1
ENSG00000250151	ARPC4-TTLL3	10093	3	9834766	9877085	1
ENSG00000214021	TTLL3	26140	3	9849770	9896822	1
ENSG00000269886	RP11-266J6.2	NA	3	9854446	9854781	-1
ENSG00000156990	RPUSD3	285367	3	9879533	9886286	-1
ENSG00000187288	CIDEC	63924	3	9908398	9921938	-1
ENSG00000171135	JAGN1	84522	3	9932238	9936033	1
ENSG00000163701	IL17RE	132014	3	9944296	9958086	1
ENSG00000163702	IL17RC	84818	3	9958758	9975314	1
ENSG00000212327	RNU6-882P	NA	3	9960735	9960837	-1
ENSG00000163703	CRELD1	78987	3	9975506	9987097	1
ENSG00000269894	RP11-1020A11.1	NA	3	9977390	9977942	1
ENSG00000163704	PRRT3	285368	3	9987226	9994078	-1
ENSG00000230082	PRRT3-AS1	100874032	3	9989088	9996471	1
ENSG00000269982	RP11-1020A11.2	NA	3	10000401	10004223	1
ENSG00000125037	EMC3	55831	3	10004221	10052800	-1
ENSG00000180385	EMC3-AS1	442075	3	10028577	10048674	1
ENSG00000232901	CYCSP10	NA	3	10042331	10042624	-1
ENSG00000206567	AC022007.5	NA	3	10048102	10052893	-1
ENSG00000186162	CIDECP	152302	3	10055932	10068049	-1
ENSG00000144554	FANCD2	2177	3	10068098	10143614	1
ENSG00000201182	RNU6-670P	NA	3	10079236	10079339	1
ENSG00000229217	CYCSP11	NA	3	10099657	10099971	-1
ENSG00000163705	FANCD2OS	115795	3	10123001	10149915	-1
ENSG00000254999	BRK1	55845	3	10157276	10168874	1
ENSG00000238642	snoU13	NA	3	10175069	10175172	1
ENSG00000134086	VHL	7428	3	10182692	10193904	1
ENSG00000238345	snoU13	NA	3	10182834	10182931	1
ENSG00000134070	IRAK2	3656	3	10206549	10285427	1
ENSG00000222348	RNU6-814P	NA	3	10258896	10259003	1
ENSG00000157014	TATDN2	9797	3	10289707	10322902	1
ENSG00000272410	RP11-438J1.1	NA	3	10291056	10327480	1
ENSG00000231177	LINC00852	84657	3	10326103	10327430	1
ENSG00000157017	GHRL	51738	3	10327359	10334631	-1
ENSG00000240288	GHRLOS	100126793	3	10327438	10335133	1
ENSG00000157020	SEC13	6396	3	10334815	10362862	-1
ENSG00000157087	ATP2B2	491	3	10365707	10749716	-1
ENSG00000264534	MIR378B	100422933	3	10371913	10371969	1
ENSG00000216135	MIR885	100126334	3	10436173	10436246	-1
ENSG00000239167	AC090841.1	NA	3	10523647	10523709	1
ENSG00000236999	ATP2B2-IT1	NA	3	10607939	10612059	-1
ENSG00000224771	ATP2B2-IT2	NA	3	10667706	10668492	-1
ENSG00000226567	LINC00606	285370	3	10801169	10805877	-1
ENSG00000230599	AC018495.3	NA	3	10809149	10813403	1
ENSG00000132164	SLC6A11	6538	3	10857885	10982419	1
ENSG00000157103	SLC6A1	6529	3	11034410	11080933	1
ENSG00000232287	SLC6A1-AS1	100874090	3	11047784	11060910	-1
ENSG00000196639	HRH1	3269	3	11178779	11305243	1
ENSG00000213964	CHCHD4P4	NA	3	11275942	11276268	-1
ENSG00000197548	ATG7	10533	3	11313995	11599139	1
ENSG00000226621	AC083855.5	NA	3	11332092	11332349	-1
ENSG00000235240	AC026185.1	NA	3	11529774	11529947	-1
ENSG00000270531	RP11-169K17.2	NA	3	11570962	11571229	-1
ENSG00000144560	VGLL4	9686	3	11597544	11762220	-1
ENSG00000271716	RP11-169K17.4	NA	3	11648658	11652222	1
ENSG00000272483	RP11-169K17.3	NA	3	11653076	11653671	1
ENSG00000244030	AC090939.1	NA	3	11761930	11766453	-1
ENSG00000144559	TAMM41	132001	3	11831916	11888393	-1
ENSG00000230342	FANCD2P2	NA	3	11901148	11932646	1
ENSG00000224263	CYCSP12	NA	3	11920304	11920603	-1
ENSG00000225275	NUP210P2	NA	3	11941485	11942719	1
ENSG00000231897	MARK2P14	NA	3	11948001	11953787	1
ENSG00000251038	AC090958.5	NA	3	11951108	11952239	-1
ENSG00000263988	RN7SL147P	NA	3	11994264	11994559	-1
ENSG00000157152	SYN2	NA	3	12045876	12232900	1
ENSG00000226642	ACTG1P12	NA	3	12111695	12112860	1
ENSG00000265870	AC026166.1	NA	3	12112538	12112621	1
ENSG00000157150	TIMP4	7079	3	12194551	12200851	-1
ENSG00000233026	AC026166.2	NA	3	12206799	12207142	-1
ENSG00000236062	GSTM5P1	NA	3	12299300	12299959	-1
ENSG00000132170	PPARG	5468	3	12328867	12475855	1
ENSG00000225026	AC091492.2	NA	3	12369502	12369773	1
ENSG00000154743	TSEN2	80746	3	12525931	12581122	1
ENSG00000251777	RNU6-404P	NA	3	12543122	12543203	-1
ENSG00000200114	RNA5SP123	NA	3	12552594	12552712	-1
ENSG00000251774	RNU6-377P	NA	3	12556205	12556306	1
ENSG00000225526	C3orf83	100129480	3	12556433	12602558	-1
ENSG00000075975	MKRN2	23609	3	12598513	12625212	1
ENSG00000132155	RAF1	5894	3	12625100	12705725	-1
ENSG00000239140	snoU13	NA	3	12674233	12674333	1
ENSG00000233252	CRIP1P1	NA	3	12715198	12715382	1
ENSG00000088726	TMEM40	55287	3	12775024	12810956	-1
ENSG00000213943	KRT18P17	NA	3	12828892	12830170	-1
ENSG00000144712	CAND2	23066	3	12837971	12913415	1
ENSG00000272263	RP11-767C1.2	NA	3	12873718	12874227	-1
ENSG00000144713	RPL32	6161	3	12875984	12883087	-1
ENSG00000207496	SNORA7A	619563	3	12881811	12881949	-1
ENSG00000250939	AC034198.7	NA	3	12892158	12892359	1
ENSG00000232746	RP11-767C1.1	NA	3	12919021	12926710	-1
ENSG00000144711	IQSEC1	9922	3	12938719	13114617	-1
ENSG00000231362	RP11-715I4.1	NA	3	13094467	13094622	-1
ENSG00000132182	NUP210	23225	3	13357737	13461809	-1
ENSG00000238138	AC027124.3	NA	3	13501794	13501898	-1
ENSG00000223398	AC027124.2	NA	3	13501924	13502389	-1
ENSG00000244502	HDAC11-AS1	NA	3	13518482	13521553	-1
ENSG00000163517	HDAC11	79885	3	13521224	13547916	1
ENSG00000163520	FBLN2	2199	3	13573824	13679922	1
ENSG00000224514	LINC00620	285375	3	13692196	13788132	1
ENSG00000265457	AC093611.2	NA	3	13759417	13759507	-1
ENSG00000238827	AC093611.1	NA	3	13779558	13779629	-1
ENSG00000154764	WNT7A	7476	3	13857755	13921618	-1
ENSG00000233121	VN1R20P	NA	3	13968310	13969275	1
ENSG00000250439	FGD5P1	100132526	3	13974553	13978977	1
ENSG00000180438	TPRXL	NA	3	13978756	14124311	1
ENSG00000224752	VN1R21P	NA	3	14130607	14131371	-1
ENSG00000163528	CHCHD4	131474	3	14153580	14166370	-1
ENSG00000170876	TMEM43	79188	3	14166440	14185179	1
ENSG00000268279	RP11-434D12.1	NA	3	14176717	14189548	1
ENSG00000228242	AC093495.4	NA	3	14186223	14189784	1
ENSG00000154767	XPC	7508	3	14186647	14220283	-1
ENSG00000170860	LSM3	27258	3	14219858	14242619	1
ENSG00000255021	RP11-536I6.2	NA	3	14313873	14345345	-1
ENSG00000251576	RP11-536I6.1	101927565	3	14389951	14394068	-1
ENSG00000199609	RNA5SP124	NA	3	14436148	14436257	1
ENSG00000131389	SLC6A6	6533	3	14444076	14530857	1
ENSG00000144596	GRIP2	NA	3	14530619	14583588	-1
ENSG00000207163	RNU6-905P	NA	3	14572489	14572595	-1
ENSG00000234123	RHBDF1P1	NA	3	14614359	14616299	-1
ENSG00000235629	AC090952.5	NA	3	14689701	14690939	-1
ENSG00000154781	CCDC174	51244	3	14693271	14714166	1
ENSG00000131379	C3orf20	84077	3	14716606	14814541	1
ENSG00000230172	AC090957.2	NA	3	14806459	14808947	-1
ENSG00000260902	RP11-95M5.1	152274	3	14840838	14852921	-1
ENSG00000154783	FGD5	152273	3	14860469	14975895	1
ENSG00000225733	FGD5-AS1	100505641	3	14961854	14989931	-1
ENSG00000177463	NR2C2	7182	3	14989091	15095107	1
ENSG00000131368	MRPS25	64432	3	15083967	15106842	-1
ENSG00000131381	ZFYVE20	64145	3	15111580	15140670	-1
ENSG00000228874	AC090954.5	NA	3	15173355	15173715	-1
ENSG00000221424	AC090954.1	NA	3	15175890	15176037	-1
ENSG00000227578	RPS3AP53	NA	3	15182887	15183664	1
ENSG00000230524	COL6A4P1	344875	3	15193340	15247466	-1
ENSG00000131375	CAPN7	23473	3	15247659	15294425	1
ENSG00000252085	Y_RNA	NA	3	15278507	15278600	-1
ENSG00000224660	SH3BP5-AS1	100505696	3	15295691	15306000	1
ENSG00000131370	SH3BP5	9467	3	15296360	15382875	-1
ENSG00000238891	snoU13	NA	3	15358127	15358229	1
ENSG00000201162	RNU6-454P	NA	3	15381256	15381362	1
ENSG00000226427	HMGN2P7	NA	3	15416880	15417152	-1
ENSG00000206562	METTL6	131965	3	15422782	15482073	-1
ENSG00000144597	EAF1	85403	3	15468862	15484120	1
ENSG00000206926	RNU6-1024P	NA	3	15474617	15474723	-1
ENSG00000249786	EAF1-AS1	NA	3	15477678	15493109	-1
ENSG00000206561	COLQ	8292	3	15491640	15563258	-1
ENSG00000263573	MIR4270	100422868	3	15537746	15537815	-1
ENSG00000241064	RN7SL110P	NA	3	15548132	15548412	-1
ENSG00000131373	HACL1	26061	3	15602211	15643338	-1
ENSG00000169814	BTD	686	3	15642848	15687329	1
ENSG00000206560	ANKRD28	23243	3	15708743	15901278	-1
ENSG00000264354	MIR3134	100422990	3	15738805	15738878	-1
ENSG00000270409	RP11-44D5.1	NA	3	15773759	15774977	1
ENSG00000263740	RN7SL4P	NA	3	15780022	15780315	1
ENSG00000207815	MIR563	693148	3	15915278	15915356	1
ENSG00000224728	AC090945.1	NA	3	15919554	15921078	1
ENSG00000131386	GALNT15	117248	3	16216156	16273499	1
ENSG00000255701	AC090953.1	NA	3	16269421	16269957	1
ENSG00000154813	DPH3	285381	3	16299485	16306479	-1
ENSG00000154814	OXNAD1	92106	3	16306706	16391806	1
ENSG00000270739	RP11-608O8.2	NA	3	16316567	16318139	-1
ENSG00000131378	RFTN1	23180	3	16355081	16555533	-1
ENSG00000271964	RP11-415F23.2	NA	3	16355946	16356494	1
ENSG00000272498	RP11-415F23.3	NA	3	16380815	16381378	1
ENSG00000272529	RP11-415F23.4	NA	3	16386633	16387947	1
ENSG00000269391	RP11-194G10.3	NA	3	16572278	16573309	1
ENSG00000233570	LINC00690	100996597	3	16577827	16582880	1
ENSG00000092345	DAZL	1618	3	16628299	16711813	-1
ENSG00000264034	AC010139.1	NA	3	16661028	16661125	-1
ENSG00000229271	AC091493.2	NA	3	16729493	16738986	-1
ENSG00000224039	AC091493.1	NA	3	16734252	16735709	-1
ENSG00000154822	PLCL2	23228	3	16844159	17132086	1
ENSG00000264818	MIR3714	100500913	3	16974688	16974752	1
ENSG00000226441	PLCL2-AS1	NA	3	17084234	17085684	-1
ENSG00000252976	AC090644.1	NA	3	17177142	17177214	-1
ENSG00000131374	TBC1D5	9779	3	17198654	18486309	-1
ENSG00000231780	AC090960.1	NA	3	17374618	17374923	1
ENSG00000227309	AC140076.1	NA	3	17506642	17507002	1
ENSG00000271841	U7	NA	3	17706455	17706517	1
ENSG00000233133	AC104451.2	NA	3	17747550	17747725	-1
ENSG00000213383	AC104297.1	NA	3	17913221	17914090	-1
ENSG00000214286	PDCL3P3	NA	3	17918947	17919661	-1
ENSG00000226238	AC132807.1	NA	3	18031515	18037036	1
ENSG00000182568	SATB1	6304	3	18386879	18487080	-1
ENSG00000272477	RP11-158G18.1	NA	3	18450172	18451127	-1
ENSG00000228956	AC144521.1	101929587	3	18486516	18959184	1
ENSG00000228956	AC144521.1	101927805	3	18486516	18959184	1
ENSG00000228956	AC144521.1	101927777	3	18486516	18959184	1
ENSG00000236570	RAD23BP1	NA	3	18580165	18581391	1
ENSG00000251761	RNU6-138P	NA	3	18996435	18996541	-1
ENSG00000183960	KCNH8	131096	3	19189946	19577138	1
ENSG00000271898	MIR4791	100616291	3	19356340	19356423	-1
ENSG00000163576	EFHB	151651	3	19920964	19988517	-1
ENSG00000232953	HSPA8P18	NA	3	19981761	19984802	-1
ENSG00000144566	RAB5A	5868	3	19988571	20026667	1
ENSG00000183977	PP2D1	151649	3	20021453	20053822	-1
ENSG00000201545	RNU4-85P	NA	3	20038295	20038417	1
ENSG00000230697	AC097635.4	NA	3	20049344	20049739	-1
ENSG00000229468	AC097635.5	NA	3	20053944	20054098	1
ENSG00000114166	KAT2B	8850	3	20081515	20195896	1
ENSG00000266745	MIR3135A	100422901	3	20179057	20179133	1
ENSG00000129810	SGOL1	151648	3	20202085	20227784	-1
ENSG00000237485	SGOL1-AS1	100874028	3	20215736	20227919	1
ENSG00000252442	RNY4P22	NA	3	20234274	20234366	-1
ENSG00000199577	RNU6-822P	NA	3	20310457	20310562	-1
ENSG00000231304	AC107622.1	101927829	3	20383960	20392420	1
ENSG00000261734	RP11-669C19.1	NA	3	20429741	20432054	1
ENSG00000206807	RNU6-815P	NA	3	20549136	20549248	-1
ENSG00000221659	AC104441.1	NA	3	21179755	21179833	-1
ENSG00000252306	AC104183.1	NA	3	21430025	21430109	-1
ENSG00000236380	VENTXP7	391518	3	21447218	21448175	1
ENSG00000272511	RP11-180N14.1	NA	3	21453714	21455436	-1
ENSG00000151789	ZNF385D	79750	3	21459915	22414812	-1
ENSG00000225542	ZNF385D-AS1	NA	3	21584308	21621451	1
ENSG00000221384	AC023798.1	NA	3	21871230	21871329	1
ENSG00000223351	ZNF385D-AS2	NA	3	21984058	22021320	1
ENSG00000132967	HMGB1P5	NA	3	22423310	22424420	1
ENSG00000234723	AC092421.1	NA	3	22711692	22712202	-1
ENSG00000271235	RP11-1037D22.1	NA	3	22852881	22853538	-1
ENSG00000226183	RANP7	NA	3	22945626	22946642	1
ENSG00000231915	SALL4P5	NA	3	23031314	23033073	1
ENSG00000215016	RPL24P7	NA	3	23175863	23176315	1
ENSG00000233153	UBE2E2-AS1	NA	3	23236561	23244069	-1
ENSG00000182247	UBE2E2	7325	3	23244511	23633284	1
ENSG00000206728	Y_RNA	NA	3	23315298	23315401	1
ENSG00000228171	AC121251.1	NA	3	23431152	23431400	-1
ENSG00000221506	AC092038.1	NA	3	23440991	23441060	-1
ENSG00000265645	AC092038.2	NA	3	23521988	23522069	-1
ENSG00000252562	RNU6-922P	NA	3	23655152	23655250	-1
ENSG00000212269	RNU6-788P	NA	3	23682980	23683083	-1
ENSG00000238672	AC020626.1	NA	3	23809102	23809195	1
ENSG00000223791	UBE2E1-AS1	NA	3	23845515	23848396	-1
ENSG00000170142	UBE2E1	7324	3	23847394	23932807	1
ENSG00000231395	AC124914.3	NA	3	23920472	23920989	-1
ENSG00000197885	NKIRAS1	28512	3	23933151	23988082	-1
ENSG00000174748	RPL15	6138	3	23958036	23965183	1
ENSG00000174738	NR1D2	9975	3	23986751	24022109	1
ENSG00000224074	LINC00691	152024	3	24137760	24144729	-1
ENSG00000242109	NPM1P23	NA	3	24138003	24138851	-1
ENSG00000151090	THRB	7068	3	24158651	24536773	-1
ENSG00000229756	RPL31P20	NA	3	24472239	24472598	1
ENSG00000224822	THRB-IT1	NA	3	24496627	24500925	-1
ENSG00000228791	THRB-AS1	644990	3	24535578	24541833	1
ENSG00000272554	RP11-317L10.1	NA	3	24537763	24541071	-1
ENSG00000265028	MIR4792	100616448	3	24562853	24562926	-1
ENSG00000233544	EIF3KP2	NA	3	24597325	24597950	1
ENSG00000237838	AC133680.1	NA	3	24729410	25215796	1
ENSG00000244404	RN7SL216P	NA	3	25061654	25061954	-1
ENSG00000201713	RNA5SP125	NA	3	25066498	25066617	1
ENSG00000077092	RARB	5915	3	25215823	25639423	1
ENSG00000213877	CFL1P7	NA	3	25365665	25366150	1
ENSG00000201962	RNA5SP126	NA	3	25393775	25393883	-1
ENSG00000229421	AC133141.1	NA	3	25482655	25482993	-1
ENSG00000272166	SNORD5	NA	3	25597034	25597097	-1
ENSG00000077097	TOP2B	7155	3	25639475	25706398	-1
ENSG00000264219	MIR4442	100616477	3	25706364	25706430	-1
ENSG00000238225	CRIP1P2	NA	3	25728387	25728614	1
ENSG00000151092	NGLY1	55768	3	25760435	25831530	-1
ENSG00000213872	AC092798.2	NA	3	25790979	25791387	1
ENSG00000213871	TAF9BP1	NA	3	25796416	25797161	1
ENSG00000263385	AC092798.1	NA	3	25810151	25810202	-1
ENSG00000151093	OXSM	54995	3	25824408	25836025	1
ENSG00000230891	LINC00692	NA	3	25900024	25915191	-1
ENSG00000234158	RPEP2	NA	3	26057160	26057860	1
ENSG00000237603	HMGB3P12	NA	3	26257813	26258368	1
ENSG00000230465	VENTXP4	NA	3	26388172	26389129	-1
ENSG00000225386	AC099754.1	NA	3	26660821	26664181	-1
ENSG00000179796	LRRC3B	116135	3	26664297	26752267	1
ENSG00000234165	AC114877.3	NA	3	26753798	26754855	1
ENSG00000221438	AC114877.1	NA	3	26795428	26795567	-1
ENSG00000163491	NEK10	152110	3	27151576	27410951	-1
ENSG00000224237	MINOS1P3	NA	3	27256307	27256509	-1
ENSG00000207251	RNU6-342P	NA	3	27307071	27307174	-1
ENSG00000221573	AC099535.1	NA	3	27404057	27404149	-1
ENSG00000033867	SLC4A7	9497	3	27414214	27525911	-1
ENSG00000264625	RN7SL859P	NA	3	27460829	27461125	-1
ENSG00000227523	RPS20P15	NA	3	27503997	27504307	1
ENSG00000230807	AC099535.4	NA	3	27527738	27528108	1
ENSG00000201033	RNU1-96P	NA	3	27555362	27555523	1
ENSG00000232167	AC137675.1	NA	3	27566844	27566885	1
ENSG00000238912	Y_RNA	NA	3	27589248	27589349	-1
ENSG00000223968	AC098614.1	NA	3	27665693	27665947	-1
ENSG00000213846	AC098614.2	NA	3	27674467	27675211	1
ENSG00000271943	RP11-222K16.1	NA	3	27679806	27680267	1
ENSG00000232766	AC098614.3	NA	3	27744620	27745059	-1
ENSG00000272282	RP11-222K16.2	NA	3	27754401	27755496	1
ENSG00000163508	EOMES	8320	3	27757440	27764206	-1
ENSG00000225548	AC098973.2	NA	3	27844253	27932792	1
ENSG00000229243	AC098973.1	100996624	3	27872379	27875627	-1
ENSG00000235493	AC092415.1	NA	3	28038701	28070095	-1
ENSG00000187118	CMC1	152100	3	28283075	28366633	1
ENSG00000163512	AZI2	64343	3	28356494	28390618	-1
ENSG00000206559	ZCWPW2	152098	3	28390637	28579613	1
ENSG00000234048	FAM96AP1	NA	3	28469454	28469935	-1
ENSG00000230480	AC093142.2	NA	3	28489216	28489564	1
ENSG00000228214	LINC00693	645206	3	28616282	28799831	1
ENSG00000238470	AC097361.1	NA	3	29052733	29052827	1
ENSG00000215004	MESTP4	NA	3	29128887	29130090	1
ENSG00000235904	RBMS3-AS3	100873979	3	29305685	29332217	-1
ENSG00000144642	RBMS3	27303	3	29322473	30051886	1
ENSG00000216169	AC098650.1	NA	3	29410828	29410912	-1
ENSG00000226216	RPS12P5	NA	3	29432339	29432709	1
ENSG00000203506	RBMS3-AS2	NA	3	29657466	29684300	-1
ENSG00000227795	AC092796.1	NA	3	29839143	29839316	-1
ENSG00000235593	RBMS3-AS1	NA	3	29968302	29975647	-1
ENSG00000203652	AC099048.1	NA	3	30030355	30031951	1
ENSG00000264178	AC137674.1	NA	3	30179739	30179806	1
ENSG00000266546	AC137674.2	NA	3	30180451	30180524	-1
ENSG00000199927	U3	NA	3	30345813	30346027	-1
ENSG00000227260	AC116035.1	101928015	3	30566237	30568677	1
ENSG00000227549	AC116035.2	NA	3	30566482	30567705	-1
ENSG00000163513	TGFBR2	7048	3	30647994	30735634	1
ENSG00000224618	AC096921.2	NA	3	30667915	30668289	-1
ENSG00000261468	RP11-1024P17.1	NA	3	30739153	30741068	1
ENSG00000144644	GADL1	339896	3	30767692	30936257	-1
ENSG00000265376	hsa-mir-466	NA	3	31203196	31203279	-1
ENSG00000213854	CNN2P6	NA	3	31223243	31224142	-1
ENSG00000222983	RNA5SP127	NA	3	31270207	31270339	1
ENSG00000230111	AC115283.1	NA	3	31310499	31310898	1
ENSG00000238727	AC099540.1	NA	3	31437429	31437523	1
ENSG00000227339	THRAP3P1	NA	3	31494324	31497386	1
ENSG00000163527	STT3B	201595	3	31574130	31679112	1
ENSG00000144645	OSBPL10	114884	3	31699382	32119072	-1
ENSG00000232490	OSBPL10-AS1	100874206	3	31745550	31763144	1
ENSG00000223965	ZNF587P1	NA	3	31835962	31837667	1
ENSG00000197385	ZNF860	344787	3	32023263	32033120	1
ENSG00000235670	RPL21P40	NA	3	32071688	32072170	1
ENSG00000201701	SNORA25	NA	3	32079018	32079145	1
ENSG00000252398	Y_RNA	NA	3	32087365	32087471	1
ENSG00000251590	NIFKP7	NA	3	32105466	32108103	-1
ENSG00000152642	GPD1L	23171	3	32147181	32210205	1
ENSG00000236732	AC094019.4	NA	3	32192575	32193387	-1
ENSG00000238646	snoU13	NA	3	32214148	32214252	1
