GO.ID	Term	Annotated	Significant	Expected	Fisher
GO:0044707	single-multicellular organism process	5593	2	1,51	0.48408
GO:0044237	cellular metabolic process	9024	3	2,43	0.48850
GO:0044238	primary metabolic process	9111	3	2,45	0.49870
GO:0032501	multicellular organismal process	5808	2	1,56	0.50940
GO:0006996	organelle organization	2551	1	0,69	0.52952
GO:0071704	organic substance metabolic process	9411	3	2,53	0.53419
GO:0048513	organ development	2649	1	0,71	0.54434
GO:0006464	cellular protein modification process	2651	1	0,71	0.54464
GO:0036211	protein modification process	2651	1	0,71	0.54464
GO:0043412	macromolecule modification	2753	1	0,74	0.55968
GO:0006796	phosphate-containing compound metabolic ...	2852	1	0,77	0.57392
GO:0006793	phosphorus metabolic process	2898	1	0,78	0.58042
GO:0008152	metabolic process	9995	3	2,69	0.60397
GO:0048869	cellular developmental process	3191	1	0,86	0.62008
GO:0044260	cellular macromolecule metabolic process	6878	2	1,85	0.63034
GO:0043170	macromolecule metabolic process	7605	2	2,05	0.70548
GO:0034645	cellular macromolecule biosynthetic proc...	4285	1	1,15	0.74385
GO:0009059	macromolecule biosynthetic process	4412	1	1,19	0.75594
GO:0016043	cellular component organization	4718	1	1,27	0.78333
GO:0071840	cellular component organization or bioge...	4813	1	1,3	0.79135
GO:0044699	single-organism process	11913	3	3,21	0.82262
GO:0044249	cellular biosynthetic process	5214	1	1,4	0.82275
GO:0010467	gene expression	5282	1	1,42	0.82770
GO:1901576	organic substance biosynthetic process	5316	1	1,43	0.83014
GO:0009058	biosynthetic process	5394	1	1,45	0.83563
GO:0006807	nitrogen compound metabolic process	6236	1	1,68	0.88682
GO:0044763	single-organism cellular process	10673	2	2,87	0.92979
GO:0009987	cellular process	13172	3	3,55	0.93447
GO:0008150	biological_process	14850	4	4	1.00000
GO:0000002	mitochondrial genome maintenance	20	0	0,01	1.00000
GO:0000003	reproduction	1136	0	0,31	1.00000
GO:0000012	single strand break repair	7	0	0	1.00000
GO:0000018	regulation of DNA recombination	50	0	0,01	1.00000
GO:0000019	regulation of mitotic recombination	4	0	0	1.00000
GO:0000022	mitotic spindle elongation	2	0	0	1.00000
GO:0000023	maltose metabolic process	1	0	0	1.00000
GO:0000027	ribosomal large subunit assembly	1	0	0	1.00000
GO:0000028	ribosomal small subunit assembly	8	0	0	1.00000
GO:0000038	very long-chain fatty acid metabolic pro...	25	0	0,01	1.00000
GO:0000041	transition metal ion transport	92	0	0,02	1.00000
GO:0000042	protein targeting to Golgi	14	0	0	1.00000
GO:0000045	autophagic vacuole assembly	30	0	0,01	1.00000
GO:0000046	autophagic vacuole fusion	5	0	0	1.00000
GO:0000050	urea cycle	11	0	0	1.00000
GO:0000052	citrulline metabolic process	10	0	0	1.00000
GO:0000053	argininosuccinate metabolic process	1	0	0	1.00000
GO:0000054	ribosomal subunit export from nucleus	2	0	0	1.00000
GO:0000055	ribosomal large subunit export from nucl...	1	0	0	1.00000
GO:0000056	ribosomal small subunit export from nucl...	1	0	0	1.00000
GO:0000059	protein import into nucleus, docking	2	0	0	1.00000
GO:0000060	protein import into nucleus, translocati...	42	0	0,01	1.00000
GO:0000066	mitochondrial ornithine transport	1	0	0	1.00000
GO:0000070	mitotic sister chromatid segregation	56	0	0,02	1.00000
GO:0000075	cell cycle checkpoint	230	0	0,06	1.00000
GO:0000076	DNA replication checkpoint	11	0	0	1.00000
GO:0000077	DNA damage checkpoint	146	0	0,04	1.00000
GO:0000079	regulation of cyclin-dependent protein s...	89	0	0,02	1.00000
GO:0000080	mitotic G1 phase	5	0	0	1.00000
GO:0000082	G1/S transition of mitotic cell cycle	232	0	0,06	1.00000
GO:0000083	regulation of transcription involved in ...	24	0	0,01	1.00000
GO:0000084	mitotic S phase	7	0	0	1.00000
GO:0000085	mitotic G2 phase	9	0	0	1.00000
GO:0000086	G2/M transition of mitotic cell cycle	166	0	0,04	1.00000
GO:0000087	mitotic M phase	6	0	0	1.00000
GO:0000089	mitotic metaphase	3	0	0	1.00000
GO:0000090	mitotic anaphase	6	0	0	1.00000
GO:0000093	mitotic telophase	1	0	0	1.00000
GO:0000096	sulfur amino acid metabolic process	43	0	0,01	1.00000
GO:0000097	sulfur amino acid biosynthetic process	16	0	0	1.00000
GO:0000098	sulfur amino acid catabolic process	12	0	0	1.00000
GO:0000101	sulfur amino acid transport	4	0	0	1.00000
GO:0000103	sulfate assimilation	3	0	0	1.00000
GO:0000105	histidine biosynthetic process	2	0	0	1.00000
GO:0000117	regulation of transcription involved in ...	2	0	0	1.00000
GO:0000122	negative regulation of transcription fro...	558	0	0,15	1.00000
GO:0000132	establishment of mitotic spindle orienta...	14	0	0	1.00000
GO:0000154	rRNA modification	3	0	0	1.00000
GO:0000160	phosphorelay signal transduction system	1	0	0	1.00000
GO:0000165	MAPK cascade	557	0	0,15	1.00000
GO:0000173	inactivation of MAPK activity involved i...	1	0	0	1.00000
GO:0000183	chromatin silencing at rDNA	9	0	0	1.00000
GO:0000184	nuclear-transcribed mRNA catabolic proce...	120	0	0,03	1.00000
GO:0000185	activation of MAPKKK activity	11	0	0	1.00000
GO:0000186	activation of MAPKK activity	56	0	0,02	1.00000
GO:0000187	activation of MAPK activity	129	0	0,03	1.00000
GO:0000188	inactivation of MAPK activity	26	0	0,01	1.00000
GO:0000189	MAPK import into nucleus	3	0	0	1.00000
GO:0000209	protein polyubiquitination	174	0	0,05	1.00000
GO:0000212	meiotic spindle organization	4	0	0	1.00000
GO:0000226	microtubule cytoskeleton organization	310	0	0,08	1.00000
GO:0000244	spliceosomal tri-snRNP complex assembly	6	0	0	1.00000
GO:0000245	spliceosomal complex assembly	43	0	0,01	1.00000
GO:0000255	allantoin metabolic process	5	0	0	1.00000
GO:0000256	allantoin catabolic process	1	0	0	1.00000
GO:0000266	mitochondrial fission	21	0	0,01	1.00000
GO:0000270	peptidoglycan metabolic process	7	0	0	1.00000
GO:0000271	polysaccharide biosynthetic process	72	0	0,02	1.00000
GO:0000272	polysaccharide catabolic process	27	0	0,01	1.00000
GO:0000278	mitotic cell cycle	861	0	0,23	1.00000
GO:0000279	M phase	20	0	0,01	1.00000
GO:0000280	nuclear division	499	0	0,13	1.00000
GO:0000281	mitotic cytokinesis	19	0	0,01	1.00000
GO:0000288	nuclear-transcribed mRNA catabolic proce...	61	0	0,02	1.00000
GO:0000289	nuclear-transcribed mRNA poly(A) tail sh...	32	0	0,01	1.00000
GO:0000290	deadenylation-dependent decapping of nuc...	5	0	0	1.00000
GO:0000291	nuclear-transcribed mRNA catabolic proce...	31	0	0,01	1.00000
GO:0000296	spermine transport	1	0	0	1.00000
GO:0000301	retrograde transport, vesicle recycling ...	15	0	0	1.00000
GO:0000302	response to reactive oxygen species	140	0	0,04	1.00000
GO:0000303	response to superoxide	18	0	0	1.00000
GO:0000305	response to oxygen radical	1	0	0	1.00000
GO:0000320	re-entry into mitotic cell cycle	3	0	0	1.00000
GO:0000338	protein deneddylation	9	0	0	1.00000
GO:0000354	cis assembly of pre-catalytic spliceosom...	2	0	0	1.00000
GO:0000375	RNA splicing, via transesterification re...	224	0	0,06	1.00000
GO:0000377	RNA splicing, via transesterification re...	219	0	0,06	1.00000
GO:0000379	tRNA-type intron splice site recognition...	1	0	0	1.00000
GO:0000380	alternative mRNA splicing, via spliceoso...	32	0	0,01	1.00000
GO:0000381	regulation of alternative mRNA splicing,...	27	0	0,01	1.00000
GO:0000387	spliceosomal snRNP assembly	32	0	0,01	1.00000
GO:0000389	mRNA 3'-splice site recognition	5	0	0	1.00000
GO:0000390	spliceosomal complex disassembly	1	0	0	1.00000
GO:0000394	RNA splicing, via endonucleolytic cleava...	8	0	0	1.00000
GO:0000395	mRNA 5'-splice site recognition	4	0	0	1.00000
GO:0000398	mRNA splicing, via spliceosome	219	0	0,06	1.00000
GO:0000409	regulation of transcription by galactose	1	0	0	1.00000
GO:0000411	positive regulation of transcription by ...	1	0	0	1.00000
GO:0000413	protein peptidyl-prolyl isomerization	20	0	0,01	1.00000
GO:0000414	regulation of histone H3-K36 methylation	3	0	0	1.00000
GO:0000415	negative regulation of histone H3-K36 me...	1	0	0	1.00000
GO:0000416	positive regulation of histone H3-K36 me...	1	0	0	1.00000
GO:0000422	mitochondrion degradation	10	0	0	1.00000
GO:0000423	macromitophagy	2	0	0	1.00000
GO:0000429	carbon catabolite regulation of transcri...	4	0	0	1.00000
GO:0000430	regulation of transcription from RNA pol...	3	0	0	1.00000
GO:0000431	regulation of transcription from RNA pol...	1	0	0	1.00000
GO:0000432	positive regulation of transcription fro...	3	0	0	1.00000
GO:0000433	negative regulation of transcription fro...	1	0	0	1.00000
GO:0000435	positive regulation of transcription fro...	1	0	0	1.00000
GO:0000436	carbon catabolite activation of transcri...	4	0	0	1.00000
GO:0000437	carbon catabolite repression of transcri...	1	0	0	1.00000
GO:0000447	endonucleolytic cleavage in ITS1 to sepa...	4	0	0	1.00000
GO:0000460	maturation of 5.8S rRNA	13	0	0	1.00000
GO:0000461	endonucleolytic cleavage to generate mat...	2	0	0	1.00000
GO:0000462	maturation of SSU-rRNA from tricistronic...	8	0	0	1.00000
GO:0000463	maturation of LSU-rRNA from tricistronic...	3	0	0	1.00000
GO:0000466	maturation of 5.8S rRNA from tricistroni...	7	0	0	1.00000
GO:0000469	cleavage involved in rRNA processing	4	0	0	1.00000
GO:0000470	maturation of LSU-rRNA	3	0	0	1.00000
GO:0000472	endonucleolytic cleavage to generate mat...	2	0	0	1.00000
GO:0000478	endonucleolytic cleavage involved in rRN...	4	0	0	1.00000
GO:0000479	endonucleolytic cleavage of tricistronic...	4	0	0	1.00000
GO:0000480	endonucleolytic cleavage in 5'-ETS of tr...	2	0	0	1.00000
GO:0000491	small nucleolar ribonucleoprotein comple...	3	0	0	1.00000
GO:0000492	box C/D snoRNP assembly	3	0	0	1.00000
GO:0000578	embryonic axis specification	35	0	0,01	1.00000
GO:0000710	meiotic mismatch repair	4	0	0	1.00000
GO:0000711	meiotic DNA repair synthesis	1	0	0	1.00000
GO:0000712	resolution of meiotic recombination inte...	10	0	0	1.00000
GO:0000715	nucleotide-excision repair, DNA damage r...	2	0	0	1.00000
GO:0000717	nucleotide-excision repair, DNA duplex u...	1	0	0	1.00000
GO:0000718	nucleotide-excision repair, DNA damage r...	21	0	0,01	1.00000
GO:0000720	pyrimidine dimer repair by nucleotide-ex...	3	0	0	1.00000
GO:0000722	telomere maintenance via recombination	26	0	0,01	1.00000
GO:0000723	telomere maintenance	65	0	0,02	1.00000
GO:0000724	double-strand break repair via homologou...	64	0	0,02	1.00000
GO:0000725	recombinational repair	65	0	0,02	1.00000
GO:0000726	non-recombinational repair	20	0	0,01	1.00000
GO:0000729	DNA double-strand break processing	9	0	0	1.00000
GO:0000730	DNA recombinase assembly	5	0	0	1.00000
GO:0000731	DNA synthesis involved in DNA repair	10	0	0	1.00000
GO:0000733	DNA strand renaturation	8	0	0	1.00000
GO:0000737	DNA catabolic process, endonucleolytic	55	0	0,01	1.00000
GO:0000738	DNA catabolic process, exonucleolytic	19	0	0,01	1.00000
GO:0000741	karyogamy	1	0	0	1.00000
GO:0000768	syncytium formation by plasma membrane f...	30	0	0,01	1.00000
GO:0000819	sister chromatid segregation	64	0	0,02	1.00000
GO:0000820	regulation of glutamine family amino aci...	2	0	0	1.00000
GO:0000902	cell morphogenesis	1037	0	0,28	1.00000
GO:0000904	cell morphogenesis involved in different...	750	0	0,2	1.00000
GO:0000910	cytokinesis	121	0	0,03	1.00000
GO:0000912	assembly of actomyosin apparatus involve...	1	0	0	1.00000
GO:0000915	actomyosin contractile ring assembly	1	0	0	1.00000
GO:0000917	barrier septum assembly	2	0	0	1.00000
GO:0000920	cytokinetic cell separation	4	0	0	1.00000
GO:0000921	septin ring assembly	1	0	0	1.00000
GO:0000956	nuclear-transcribed mRNA catabolic proce...	182	0	0,05	1.00000
GO:0000957	mitochondrial RNA catabolic process	4	0	0	1.00000
GO:0000958	mitochondrial mRNA catabolic process	2	0	0	1.00000
GO:0000959	mitochondrial RNA metabolic process	21	0	0,01	1.00000
GO:0000960	regulation of mitochondrial RNA cataboli...	4	0	0	1.00000
GO:0000961	negative regulation of mitochondrial RNA...	2	0	0	1.00000
GO:0000962	positive regulation of mitochondrial RNA...	2	0	0	1.00000
GO:0000963	mitochondrial RNA processing	6	0	0	1.00000
GO:0000964	mitochondrial RNA 5'-end processing	2	0	0	1.00000
GO:0000965	mitochondrial RNA 3'-end processing	3	0	0	1.00000
GO:0000966	RNA 5'-end processing	5	0	0	1.00000
GO:0000967	rRNA 5'-end processing	2	0	0	1.00000
GO:0000972	transcription-dependent tethering of RNA...	1	0	0	1.00000
GO:0001079	nitrogen catabolite regulation of transc...	1	0	0	1.00000
GO:0001080	nitrogen catabolite activation of transc...	1	0	0	1.00000
GO:0001100	negative regulation of exit from mitosis	1	0	0	1.00000
GO:0001101	response to acid	266	0	0,07	1.00000
GO:0001180	transcription initiation from RNA polyme...	1	0	0	1.00000
GO:0001188	RNA polymerase I transcriptional preinit...	1	0	0	1.00000
GO:0001189	RNA polymerase I transcriptional preinit...	1	0	0	1.00000
GO:0001192	maintenance of transcriptional fidelity ...	1	0	0	1.00000
GO:0001193	maintenance of transcriptional fidelity ...	1	0	0	1.00000
GO:0001207	histone displacement	1	0	0	1.00000
GO:0001300	chronological cell aging	2	0	0	1.00000
GO:0001301	progressive alteration of chromatin invo...	2	0	0	1.00000
GO:0001302	replicative cell aging	5	0	0	1.00000
GO:0001304	progressive alteration of chromatin invo...	2	0	0	1.00000
GO:0001306	age-dependent response to oxidative stre...	3	0	0	1.00000
GO:0001309	age-dependent telomere shortening	2	0	0	1.00000
GO:0001315	age-dependent response to reactive oxyge...	1	0	0	1.00000
GO:0001501	skeletal system development	426	0	0,11	1.00000
GO:0001502	cartilage condensation	22	0	0,01	1.00000
GO:0001503	ossification	297	0	0,08	1.00000
GO:0001504	neurotransmitter uptake	22	0	0,01	1.00000
GO:0001505	regulation of neurotransmitter levels	143	0	0,04	1.00000
GO:0001507	acetylcholine catabolic process in synap...	2	0	0	1.00000
GO:0001508	action potential	171	0	0,05	1.00000
GO:0001510	RNA methylation	18	0	0	1.00000
GO:0001514	selenocysteine incorporation	6	0	0	1.00000
GO:0001516	prostaglandin biosynthetic process	26	0	0,01	1.00000
GO:0001519	peptide amidation	2	0	0	1.00000
GO:0001522	pseudouridine synthesis	17	0	0	1.00000
GO:0001523	retinoid metabolic process	77	0	0,02	1.00000
GO:0001525	angiogenesis	380	0	0,1	1.00000
GO:0001539	ciliary or bacterial-type flagellar moti...	27	0	0,01	1.00000
GO:0001541	ovarian follicle development	50	0	0,01	1.00000
GO:0001542	ovulation from ovarian follicle	10	0	0	1.00000
GO:0001543	ovarian follicle rupture	2	0	0	1.00000
GO:0001544	initiation of primordial ovarian follicl...	1	0	0	1.00000
GO:0001546	preantral ovarian follicle growth	2	0	0	1.00000
GO:0001547	antral ovarian follicle growth	6	0	0	1.00000
GO:0001550	ovarian cumulus expansion	2	0	0	1.00000
GO:0001552	ovarian follicle atresia	1	0	0	1.00000
GO:0001553	luteinization	11	0	0	1.00000
GO:0001554	luteolysis	5	0	0	1.00000
GO:0001555	oocyte growth	2	0	0	1.00000
GO:0001556	oocyte maturation	16	0	0	1.00000
GO:0001558	regulation of cell growth	311	0	0,08	1.00000
GO:0001560	regulation of cell growth by extracellul...	2	0	0	1.00000
GO:0001561	fatty acid alpha-oxidation	6	0	0	1.00000
GO:0001562	response to protozoan	19	0	0,01	1.00000
GO:0001568	blood vessel development	527	0	0,14	1.00000
GO:0001569	patterning of blood vessels	38	0	0,01	1.00000
GO:0001570	vasculogenesis	72	0	0,02	1.00000
GO:0001573	ganglioside metabolic process	15	0	0	1.00000
GO:0001574	ganglioside biosynthetic process	7	0	0	1.00000
GO:0001575	globoside metabolic process	1	0	0	1.00000
GO:0001578	microtubule bundle formation	32	0	0,01	1.00000
GO:0001579	medium-chain fatty acid transport	2	0	0	1.00000
GO:0001580	detection of chemical stimulus involved ...	16	0	0	1.00000
GO:0001581	detection of chemical stimulus involved ...	1	0	0	1.00000
GO:0001582	detection of chemical stimulus involved ...	2	0	0	1.00000
GO:0001649	osteoblast differentiation	145	0	0,04	1.00000
GO:0001654	eye development	296	0	0,08	1.00000
GO:0001655	urogenital system development	297	0	0,08	1.00000
GO:0001656	metanephros development	87	0	0,02	1.00000
GO:0001657	ureteric bud development	103	0	0,03	1.00000
GO:0001658	branching involved in ureteric bud morph...	64	0	0,02	1.00000
GO:0001659	temperature homeostasis	34	0	0,01	1.00000
GO:0001660	fever generation	10	0	0	1.00000
GO:0001661	conditioned taste aversion	5	0	0	1.00000
GO:0001662	behavioral fear response	26	0	0,01	1.00000
GO:0001666	response to hypoxia	235	0	0,06	1.00000
GO:0001667	ameboidal cell migration	241	0	0,06	1.00000
GO:0001672	regulation of chromatin assembly or disa...	6	0	0	1.00000
GO:0001675	acrosome assembly	10	0	0	1.00000
GO:0001676	long-chain fatty acid metabolic process	83	0	0,02	1.00000
GO:0001678	cellular glucose homeostasis	83	0	0,02	1.00000
GO:0001680	tRNA 3'-terminal CCA addition	1	0	0	1.00000
GO:0001682	tRNA 5'-leader removal	1	0	0	1.00000
GO:0001692	histamine metabolic process	3	0	0	1.00000
GO:0001694	histamine biosynthetic process	2	0	0	1.00000
GO:0001696	gastric acid secretion	12	0	0	1.00000
GO:0001697	histamine-induced gastric acid secretion	1	0	0	1.00000
GO:0001698	gastrin-induced gastric acid secretion	1	0	0	1.00000
GO:0001701	in utero embryonic development	353	0	0,1	1.00000
GO:0001702	gastrulation with mouth forming second	31	0	0,01	1.00000
GO:0001704	formation of primary germ layer	87	0	0,02	1.00000
GO:0001705	ectoderm formation	3	0	0	1.00000
GO:0001706	endoderm formation	29	0	0,01	1.00000
GO:0001707	mesoderm formation	65	0	0,02	1.00000
GO:0001708	cell fate specification	79	0	0,02	1.00000
GO:0001709	cell fate determination	40	0	0,01	1.00000
GO:0001710	mesodermal cell fate commitment	20	0	0,01	1.00000
GO:0001711	endodermal cell fate commitment	16	0	0	1.00000
GO:0001712	ectodermal cell fate commitment	1	0	0	1.00000
GO:0001714	endodermal cell fate specification	9	0	0	1.00000
GO:0001715	ectodermal cell fate specification	1	0	0	1.00000
GO:0001731	formation of translation preinitiation c...	16	0	0	1.00000
GO:0001732	formation of translation initiation comp...	4	0	0	1.00000
GO:0001736	establishment of planar polarity	34	0	0,01	1.00000
GO:0001738	morphogenesis of a polarized epithelium	42	0	0,01	1.00000
GO:0001743	optic placode formation	3	0	0	1.00000
GO:0001754	eye photoreceptor cell differentiation	41	0	0,01	1.00000
GO:0001755	neural crest cell migration	40	0	0,01	1.00000
GO:0001756	somitogenesis	67	0	0,02	1.00000
GO:0001757	somite specification	5	0	0	1.00000
GO:0001759	organ induction	25	0	0,01	1.00000
GO:0001763	morphogenesis of a branching structure	208	0	0,06	1.00000
GO:0001764	neuron migration	119	0	0,03	1.00000
GO:0001765	membrane raft assembly	6	0	0	1.00000
GO:0001766	membrane raft polarization	3	0	0	1.00000
GO:0001767	establishment of lymphocyte polarity	6	0	0	1.00000
GO:0001768	establishment of T cell polarity	5	0	0	1.00000
GO:0001770	establishment of natural killer cell pol...	1	0	0	1.00000
GO:0001771	immunological synapse formation	5	0	0	1.00000
GO:0001773	myeloid dendritic cell activation	24	0	0,01	1.00000
GO:0001774	microglial cell activation	11	0	0	1.00000
GO:0001775	cell activation	826	0	0,22	1.00000
GO:0001776	leukocyte homeostasis	67	0	0,02	1.00000
GO:0001777	T cell homeostatic proliferation	3	0	0	1.00000
GO:0001778	plasma membrane repair	7	0	0	1.00000
GO:0001779	natural killer cell differentiation	22	0	0,01	1.00000
GO:0001780	neutrophil homeostasis	8	0	0	1.00000
GO:0001781	neutrophil apoptotic process	5	0	0	1.00000
GO:0001782	B cell homeostasis	23	0	0,01	1.00000
GO:0001783	B cell apoptotic process	19	0	0,01	1.00000
GO:0001787	natural killer cell proliferation	8	0	0	1.00000
GO:0001794	type IIa hypersensitivity	2	0	0	1.00000
GO:0001796	regulation of type IIa hypersensitivity	2	0	0	1.00000
GO:0001798	positive regulation of type IIa hypersen...	2	0	0	1.00000
GO:0001802	type III hypersensitivity	1	0	0	1.00000
GO:0001803	regulation of type III hypersensitivity	1	0	0	1.00000
GO:0001805	positive regulation of type III hypersen...	1	0	0	1.00000
GO:0001806	type IV hypersensitivity	4	0	0	1.00000
GO:0001807	regulation of type IV hypersensitivity	3	0	0	1.00000
GO:0001808	negative regulation of type IV hypersens...	2	0	0	1.00000
GO:0001809	positive regulation of type IV hypersens...	1	0	0	1.00000
GO:0001810	regulation of type I hypersensitivity	2	0	0	1.00000
GO:0001812	positive regulation of type I hypersensi...	2	0	0	1.00000
GO:0001816	cytokine production	516	0	0,14	1.00000
GO:0001817	regulation of cytokine production	458	0	0,12	1.00000
GO:0001818	negative regulation of cytokine producti...	148	0	0,04	1.00000
GO:0001819	positive regulation of cytokine producti...	263	0	0,07	1.00000
GO:0001820	serotonin secretion	11	0	0	1.00000
GO:0001821	histamine secretion	8	0	0	1.00000
GO:0001822	kidney development	215	0	0,06	1.00000
GO:0001823	mesonephros development	22	0	0,01	1.00000
GO:0001824	blastocyst development	65	0	0,02	1.00000
GO:0001825	blastocyst formation	29	0	0,01	1.00000
GO:0001826	inner cell mass cell differentiation	4	0	0	1.00000
GO:0001828	inner cell mass cellular morphogenesis	1	0	0	1.00000
GO:0001829	trophectodermal cell differentiation	19	0	0,01	1.00000
GO:0001831	trophectodermal cellular morphogenesis	3	0	0	1.00000
GO:0001832	blastocyst growth	17	0	0	1.00000
GO:0001833	inner cell mass cell proliferation	13	0	0	1.00000
GO:0001834	trophectodermal cell proliferation	1	0	0	1.00000
GO:0001835	blastocyst hatching	4	0	0	1.00000
GO:0001836	release of cytochrome c from mitochondri...	53	0	0,01	1.00000
GO:0001837	epithelial to mesenchymal transition	84	0	0,02	1.00000
GO:0001838	embryonic epithelial tube formation	114	0	0,03	1.00000
GO:0001839	neural plate morphogenesis	8	0	0	1.00000
GO:0001840	neural plate development	11	0	0	1.00000
GO:0001841	neural tube formation	94	0	0,03	1.00000
GO:0001842	neural fold formation	7	0	0	1.00000
GO:0001843	neural tube closure	77	0	0,02	1.00000
GO:0001844	protein insertion into mitochondrial mem...	28	0	0,01	1.00000
GO:0001845	phagolysosome assembly	8	0	0	1.00000
GO:0001865	NK T cell differentiation	6	0	0	1.00000
GO:0001866	NK T cell proliferation	5	0	0	1.00000
GO:0001867	complement activation, lectin pathway	9	0	0	1.00000
GO:0001868	regulation of complement activation, lec...	2	0	0	1.00000
GO:0001869	negative regulation of complement activa...	2	0	0	1.00000
GO:0001878	response to yeast	6	0	0	1.00000
GO:0001879	detection of yeast	1	0	0	1.00000
GO:0001880	Mullerian duct regression	5	0	0	1.00000
GO:0001881	receptor recycling	25	0	0,01	1.00000
GO:0001885	endothelial cell development	33	0	0,01	1.00000
GO:0001886	endothelial cell morphogenesis	9	0	0	1.00000
GO:0001887	selenium compound metabolic process	2	0	0	1.00000
GO:0001889	liver development	104	0	0,03	1.00000
GO:0001890	placenta development	142	0	0,04	1.00000
GO:0001892	embryonic placenta development	87	0	0,02	1.00000
GO:0001893	maternal placenta development	27	0	0,01	1.00000
GO:0001894	tissue homeostasis	175	0	0,05	1.00000
GO:0001895	retina homeostasis	54	0	0,01	1.00000
GO:0001896	autolysis	1	0	0	1.00000
GO:0001897	cytolysis by symbiont of host cells	2	0	0	1.00000
GO:0001905	activation of membrane attack complex	3	0	0	1.00000
GO:0001906	cell killing	92	0	0,02	1.00000
GO:0001907	killing by symbiont of host cells	4	0	0	1.00000
GO:0001909	leukocyte mediated cytotoxicity	71	0	0,02	1.00000
GO:0001910	regulation of leukocyte mediated cytotox...	44	0	0,01	1.00000
GO:0001911	negative regulation of leukocyte mediate...	6	0	0	1.00000
GO:0001912	positive regulation of leukocyte mediate...	36	0	0,01	1.00000
GO:0001913	T cell mediated cytotoxicity	35	0	0,01	1.00000
GO:0001914	regulation of T cell mediated cytotoxici...	28	0	0,01	1.00000
GO:0001915	negative regulation of T cell mediated c...	4	0	0	1.00000
GO:0001916	positive regulation of T cell mediated c...	23	0	0,01	1.00000
GO:0001919	regulation of receptor recycling	17	0	0	1.00000
